ppm,magnitude_original,magnitude_denoised
-1.3114340811685044e-07,0.046679515,16.09501
-1.3113340251617012e-07,0.08185441,9.385808
-1.3112339691548982e-07,0.06927146,18.155737
-1.311133913148095e-07,0.08837261,14.511673
-1.311033857141292e-07,0.09774454,11.112712
-1.3109338011344886e-07,0.06644186,18.15312
-1.3108337451276856e-07,0.12514278,14.100497
-1.3107336891208824e-07,0.0920349,15.301632
-1.3106336331140794e-07,0.052041758,13.201423
-1.310533577107276e-07,0.061002754,7.9273243
-1.310433521100473e-07,0.1137373,15.669155
-1.3103334650936699e-07,0.12560606,10.974367
-1.3102334090868669e-07,0.06903575,0.4689663
-1.3101333530800639e-07,0.13895117,28.204824
-1.3100332970732606e-07,0.07086011,10.666423
-1.3099332410664576e-07,0.09057502,24.960276
-1.3098331850596543e-07,0.20475633,28.601807
-1.3097331290528513e-07,0.121908076,24.544218
-1.309633073046048e-07,0.07410618,24.36821
-1.309533017039245e-07,0.07552079,15.472319
-1.3094329610324418e-07,0.10880528,16.900444
-1.3093329050256388e-07,0.052162085,3.8145032
-1.3092328490188356e-07,0.221117,28.075905
-1.3091327930120326e-07,0.09977468,24.147041
-1.3090327370052296e-07,0.05662737,5.609312
-1.3089326809984263e-07,0.12878412,17.141989
-1.3088326249916233e-07,0.076199435,9.851579
-1.30873256898482e-07,0.058898248,9.751287
-1.308632512978017e-07,0.09334054,14.41983
-1.3085324569712138e-07,0.16736498,16.298996
-1.3084324009644108e-07,0.059984818,14.203576
-1.3083323449576078e-07,0.06439768,4.7480564
-1.3082322889508045e-07,0.06391802,21.568377
-1.3081322329440015e-07,0.08638593,12.528926
-1.3080321769371983e-07,0.1936285,31.154877
-1.3079321209303953e-07,0.09317811,7.3866396
-1.307832064923592e-07,0.07189691,6.5635486
-1.307732008916789e-07,0.09652013,14.949577
-1.3076319529099858e-07,0.12081402,12.943047
-1.3075318969031828e-07,0.048893217,5.605317
-1.3074318408963795e-07,0.031817283,16.679934
-1.3073317848895765e-07,0.032998808,1.7336928
-1.3072317288827732e-07,0.109130345,9.63793
-1.3071316728759702e-07,0.047058374,12.914267
-1.307031616869167e-07,0.0828356,7.381726
-1.306931560862364e-07,0.11377008,23.8042
-1.3068315048555607e-07,0.13236989,13.051533
-1.3067314488487577e-07,0.089528285,5.497813
-1.3066313928419545e-07,0.07490759,13.871581
-1.3065313368351515e-07,0.14809091,17.055538
-1.3064312808283482e-07,0.09951147,4.455651
-1.3063312248215452e-07,0.045873594,21.903675
-1.306231168814742e-07,0.1064637,6.6416154
-1.306131112807939e-07,0.124352396,20.786165
-1.3060310568011357e-07,0.18435887,25.775785
