ppm,magnitude_original,magnitude_denoised
-1.091868463914822e-06,5.183686,1685.7627
-1.0917018427544505e-06,5.4948015,1630.7683
-1.0915352215940789e-06,4.911051,1715.3885
-1.0913686004337074e-06,5.1187224,1664.9377
-1.0912019792733357e-06,4.993915,1674.3031
-1.0910353581129643e-06,5.335473,1753.3232
-1.0908687369525926e-06,4.492069,1631.8029
-1.0907021157922212e-06,4.8857574,1716.1204
-1.0905354946318495e-06,4.550395,1641.2628
-1.090368873471478e-06,5.2703314,1707.1711
-1.0902022523111064e-06,4.9314895,1722.6598
-1.090035631150735e-06,4.9633756,1613.639
-1.0898690099903633e-06,5.324096,1741.7455
-1.0897023888299918e-06,4.934582,1611.4741
-1.0895357676696201e-06,4.870187,1632.1094
-1.0893691465092487e-06,5.0283093,1672.2488
-1.089202525348877e-06,4.8819757,1583.2184
-1.0890359041885056e-06,4.919859,1664.1692
-1.0888692830281341e-06,4.903216,1565.447
-1.0887026618677622e-06,5.558899,1653.6207
-1.0885360407073908e-06,4.8544574,1584.762
-1.0883694195470193e-06,4.273425,1544.6895
-1.0882027983866477e-06,5.3422327,1663.8853
-1.0880361772262762e-06,4.9688487,1525.3196
-1.0878695560659046e-06,5.6493373,1693.0768
-1.087702934905533e-06,4.756581,1626.8064
-1.0875363137451614e-06,5.1702104,1586.6106
-1.08736969258479e-06,5.446283,1682.5388
-1.0872030714244185e-06,4.8557367,1593.9697
-1.0870364502640469e-06,4.730241,1599.596
-1.0868698291036752e-06,5.049029,1585.2877
-1.0867032079433037e-06,4.813643,1593.6011
-1.086536586782932e-06,5.050097,1646.5483
-1.0863699656225606e-06,5.219901,1584.8104
-1.086203344462189e-06,4.8422685,1591.8529
-1.0860367233018175e-06,5.1757765,1645.0664
-1.0858701021414458e-06,4.6246176,1610.3433
-1.0857034809810744e-06,5.1957407,1633.0519
-1.085536859820703e-06,5.0415893,1581.3105
-1.0853702386603313e-06,5.615856,1656.6709
-1.0852036174999598e-06,5.1518245,1641.0875
-1.0850369963395882e-06,5.0602098,1639.5991
-1.0848703751792165e-06,5.5735846,1661.1256
-1.084703754018845e-06,4.9289355,1610.5438
-1.0845371328584734e-06,4.892552,1654.1393
-1.084370511698102e-06,5.2193303,1661.463
-1.0842038905377302e-06,4.426861,1551.4326
-1.0840372693773588e-06,5.2097445,1622.9333
-1.0838706482169873e-06,4.3557124,1526.2626
-1.0837040270566157e-06,5.075225,1643.3491
-1.0835374058962442e-06,4.994798,1660.0023
-1.0833707847358726e-06,5.1163116,1569.7076
-1.0832041635755009e-06,5.167574,1726.8099
-1.0830375424151294e-06,5.049087,1558.3685
-1.0828709212547578e-06,4.7399497,1570.8912
-1.0827043000943863e-06,4.8780813,1624.8796
-1.0825376789340147e-06,4.6583033,1605.2615
-1.0823710577736432e-06,5.2563396,1679.6368
-1.0822044366132717e-06,4.8923426,1562.539
-1.0820378154529e-06,4.55629,1573.8678
-1.0818711942925286e-06,4.434004,1564.0217
-1.081704573132157e-06,5.009983,1539.289
-1.0815379519717855e-06,4.9852047,1668.8997
-1.0813713308114138e-06,5.005761,1552.1904
-1.0812047096510422e-06,5.124666,1561.6963
-1.0810380884906707e-06,4.7463346,1541.1193
-1.080871467330299e-06,4.4881315,1504.0419
-1.0807048461699276e-06,5.125872,1561.6865
-1.0805382250095562e-06,4.831426,1463.4158
-1.0803716038491845e-06,4.7944994,1580.2466
-1.080204982688813e-06,5.3547134,1557.2806
-1.0800383615284414e-06,5.183451,1503.1987
-1.07987174036807e-06,5.504466,1586.8535
-1.0797051192076982e-06,4.889261,1469.8506
-1.0795384980473266e-06,5.695261,1566.36
-1.0793718768869551e-06,5.594279,1554.9738
-1.0792052557265835e-06,4.2094536,1445.059
-1.079038634566212e-06,5.0361533,1505.2783
-1.0788720134058406e-06,4.6446075,1438.0778
-1.0787053922454689e-06,5.0992894,1510.6829
-1.0785387710850974e-06,4.692255,1509.1868
-1.0783721499247258e-06,4.52818,1468.7886
-1.0782055287643543e-06,5.150091,1491.0349
-1.0780389076039827e-06,4.560117,1453.2616
-1.0778722864436112e-06,5.049738,1560.6628
-1.0777056652832395e-06,4.7171035,1496.5437
-1.0775390441228679e-06,4.8444986,1464.8142
-1.0773724229624964e-06,5.3801346,1593.5645
-1.077205801802125e-06,4.625612,1488.0688
-1.0770391806417533e-06,5.19215,1537.9034
-1.0768725594813818e-06,4.8915424,1519.5933
-1.0767059383210102e-06,4.8543925,1517.8103
-1.0765393171606387e-06,4.8844004,1616.9164
-1.076372696000267e-06,4.689117,1467.227
-1.0762060748398956e-06,4.356564,1533.8746
-1.076039453679524e-06,4.497778,1543.1499
-1.0758728325191523e-06,4.8332705,1519.4
-1.0757062113587808e-06,4.8451686,1600.7236
-1.0755395901984092e-06,4.4470367,1496.2593
-1.0753729690380377e-06,4.8812103,1541.7781
-1.0752063478776663e-06,5.2506475,1584.9695
-1.0750397267172946e-06,5.272308,1522.0153
-1.0748731055569231e-06,5.505547,1614.3268
-1.0747064843965515e-06,4.781281,1551.2458
-1.07453986323618e-06,5.170165,1558.1061
-1.0743732420758083e-06,5.4604416,1549.0284
-1.074206620915437e-06,4.7386127,1472.8007
-1.0740399997550652e-06,4.6862783,1563.37
-1.0738733785946936e-06,5.1034718,1494.6144
-1.0737067574343221e-06,4.809812,1534.6552
-1.0735401362739507e-06,4.69001,1606.3628
-1.073373515113579e-06,4.586422,1513.7262
-1.0732068939532075e-06,4.8147736,1527.8455
-1.0730402727928359e-06,4.799232,1497.6615
-1.0728736516324644e-06,4.1307526,1514.491
-1.0727070304720928e-06,4.8848934,1574.919
-1.0725404093117213e-06,4.686905,1525.3446
-1.0723737881513498e-06,5.462621,1617.7135
-1.072207166990978e-06,4.3193727,1531.3676
-1.0720405458306065e-06,4.8248563,1535.9905
-1.071873924670235e-06,4.8369927,1552.1755
-1.0717073035098634e-06,4.9158344,1526.5698
-1.071540682349492e-06,4.821607,1600.5862
-1.0713740611891203e-06,5.3633895,1540.9958
-1.0712074400287488e-06,4.716499,1561.2947
-1.0710408188683772e-06,4.4961166,1535.6987
-1.0708741977080057e-06,4.319471,1482.3821
-1.0707075765476343e-06,5.1709495,1575.735
-1.0705409553872626e-06,4.872218,1508.3507
-1.070374334226891e-06,4.6490474,1564.9841
-1.0702077130665195e-06,5.0744505,1519.9136
-1.0700410919061478e-06,4.6303835,1491.9948
-1.0698744707457764e-06,4.9339657,1549.8359
-1.0697078495854047e-06,4.801678,1460.8127
-1.0695412284250332e-06,4.504473,1541.6691
-1.0693746072646616e-06,4.7512336,1514.1168
-1.0692079861042901e-06,5.0281515,1509.0304
-1.0690413649439187e-06,5.2777314,1616.7258
-1.068874743783547e-06,4.7142057,1482.4314
-1.0687081226231755e-06,4.9561844,1515.3691
-1.0685415014628039e-06,4.714813,1548.8673
-1.0683748803024322e-06,4.6544437,1449.3661
-1.0682082591420608e-06,5.7661753,1608.101
-1.068041637981689e-06,4.494968,1485.014
-1.0678750168213176e-06,5.20134,1545.7766
-1.067708395660946e-06,4.577246,1505.2085
-1.0675417745005745e-06,3.8110454,1435.2799
-1.067375153340203e-06,5.051527,1614.3286
-1.0672085321798314e-06,5.2543836,1509.418
-1.06704191101946e-06,5.2357373,1560.8809
-1.0668752898590883e-06,4.9634743,1598.0614
-1.0667086686987166e-06,4.7265115,1487.1808
-1.0665420475383452e-06,4.9927893,1553.5631
-1.0663754263779735e-06,4.698538,1481.9088
-1.066208805217602e-06,4.611194,1540.7952
-1.0660421840572304e-06,5.489672,1551.2725
-1.065875562896859e-06,4.749829,1496.1793
-1.0657089417364875e-06,4.647062,1513.4896
-1.0655423205761158e-06,4.8548675,1494.1965
-1.0653756994157444e-06,4.6012855,1532.921
-1.0652090782553727e-06,4.4792337,1474.0125
-1.0650424570950012e-06,4.6824937,1527.7999
-1.0648758359346296e-06,4.7522736,1577.2485
-1.064709214774258e-06,4.807462,1502.2682
-1.0645425936138865e-06,4.4544187,1522.8768
-1.0643759724535148e-06,4.514812,1488.8237
-1.0642093512931433e-06,4.97287,1498.1857
-1.0640427301327717e-06,5.02276,1544.9647
-1.0638761089724002e-06,4.4509716,1497.8319
-1.0637094878120288e-06,5.0550885,1547.8009
-1.063542866651657e-06,4.6574574,1542.1809
-1.0633762454912856e-06,4.638836,1548.6785
-1.063209624330914e-06,4.8102202,1523.4841
-1.0630430031705423e-06,4.2571516,1477.3955
-1.0628763820101709e-06,3.8418598,1453.9712
-1.0627097608497992e-06,4.863428,1549.803
-1.0625431396894277e-06,5.3786674,1488.4862
-1.062376518529056e-06,4.7430987,1532.155
-1.0622098973686846e-06,4.5223246,1474.2063
-1.0620432762083132e-06,5.1099725,1512.434
-1.0618766550479415e-06,4.8238974,1489.8533
-1.06171003388757e-06,4.770008,1447.7123
-1.0615434127271984e-06,4.3927627,1542.2616
-1.061376791566827e-06,4.4964037,1448.3278
-1.0612101704064553e-06,4.7090926,1510.1277
-1.0610435492460836e-06,4.9498715,1525.6412
-1.0608769280857121e-06,4.1610537,1428.3516
-1.0607103069253405e-06,5.234007,1553.9861
-1.060543685764969e-06,4.1125255,1424.813
-1.0603770646045976e-06,4.668891,1484.2233
-1.060210443444226e-06,5.0659103,1524.2439
-1.0600438222838545e-06,4.566228,1449.0139
-1.0598772011234828e-06,4.7448688,1567.266
-1.0597105799631113e-06,4.6866703,1476.0814
-1.0595439588027397e-06,4.319345,1499.4559
-1.059377337642368e-06,4.741738,1491.6472
-1.0592107164819966e-06,4.474923,1444.327
-1.0590440953216249e-06,5.030597,1539.3123
-1.0588774741612534e-06,4.84936,1456.4617
-1.058710853000882e-06,5.1220074,1501.9216
-1.0585442318405103e-06,4.755381,1506.6934
-1.0583776106801389e-06,4.8756347,1478.1223
-1.0582109895197672e-06,4.2706957,1503.4973
-1.0580443683593957e-06,4.6406136,1440.4453
-1.057877747199024e-06,4.515904,1520.637
-1.0577111260386526e-06,4.5472507,1453.7245
-1.057544504878281e-06,4.317681,1391.2671
-1.0573778837179093e-06,5.0972643,1537.3275
-1.0572112625575378e-06,4.5296593,1457.1295
-1.0570446413971664e-06,4.881265,1495.855
-1.0568780202367947e-06,4.7827444,1534.7052
-1.0567113990764233e-06,4.193317,1451.8519
-1.0565447779160516e-06,5.0484715,1491.5939
-1.0563781567556801e-06,4.538406,1479.1016
-1.0562115355953085e-06,5.220568,1555.8867
-1.056044914434937e-06,4.8392887,1537.6648
-1.0558782932745656e-06,4.956625,1505.917
-1.0557116721141937e-06,5.1706467,1534.2803
-1.0555450509538222e-06,4.740694,1460.1046
-1.0553784297934508e-06,4.532704,1494.1664
-1.0552118086330791e-06,4.8174305,1475.1805
-1.0550451874727077e-06,4.68428,1468.6614
-1.054878566312336e-06,5.0588007,1540.7479
-1.0547119451519646e-06,4.2421694,1477.5028
-1.0545453239915929e-06,5.544891,1525.1547
-1.0543787028312214e-06,4.8705196,1436.4209
-1.05421208167085e-06,4.0521965,1437.3071
-1.0540454605104783e-06,4.635123,1558.4061
-1.0538788393501067e-06,4.555593,1434.7299
-1.0537122181897352e-06,4.577025,1508.6202
-1.0535455970293635e-06,4.425306,1532.0117
-1.053378975868992e-06,4.2407155,1459.9009
-1.0532123547086204e-06,4.9046574,1557.5055
-1.053045733548249e-06,4.666101,1502.2444
-1.0528791123878773e-06,4.367769,1522.2202
-1.0527124912275058e-06,4.5951376,1506.4604
-1.0525458700671344e-06,3.5408454,1441.1512
-1.0523792489067627e-06,4.393024,1562.1832
-1.0522126277463913e-06,4.779669,1482.1173
-1.0520460065860196e-06,4.5315857,1527.7903
-1.051879385425648e-06,4.796926,1511.4286
-1.0517127642652765e-06,4.1815333,1450.9722
-1.0515461431049048e-06,3.905577,1485.682
-1.0513795219445334e-06,4.7911773,1433.797
-1.0512129007841617e-06,5.5081396,1584.0966
-1.0510462796237902e-06,5.282642,1584.8057
-1.0508796584634186e-06,4.565166,1469.9594
-1.0507130373030471e-06,5.0551476,1555.0463
-1.0505464161426757e-06,4.0267043,1411.019
-1.050379794982304e-06,4.1201277,1471.7908
-1.0502131738219323e-06,4.8927836,1512.1315
-1.0500465526615609e-06,4.162542,1440.5311
-1.0498799315011892e-06,4.7284484,1518.9089
-1.0497133103408178e-06,4.3573356,1437.2242
-1.0495466891804461e-06,4.7747293,1528.2745
-1.0493800680200747e-06,4.9321694,1477.4838
-1.049213446859703e-06,4.273813,1420.6172
-1.0490468256993315e-06,4.795834,1508.1018
-1.04888020453896e-06,4.994884,1434.8525
-1.0487135833785884e-06,5.1958995,1541.1624
-1.048546962218217e-06,4.099176,1463.7023
-1.0483803410578453e-06,4.5294657,1450.4318
-1.0482137198974736e-06,4.6592035,1540.852
-1.0480470987371022e-06,3.853992,1385.5524
-1.0478804775767305e-06,4.317319,1479.7245
-1.047713856416359e-06,4.738957,1449.455
-1.0475472352559874e-06,4.5097446,1451.8354
-1.047380614095616e-06,5.3340597,1561.3025
-1.0472139929352445e-06,4.3538094,1430.1993
-1.0470473717748728e-06,4.2050843,1451.2205
-1.0468807506145014e-06,4.4052896,1494.7496
-1.0467141294541297e-06,4.580357,1428.7854
-1.046547508293758e-06,4.485716,1520.4208
-1.0463808871333866e-06,4.6674566,1464.5477
-1.046214265973015e-06,4.9664755,1496.0692
-1.0460476448126435e-06,4.651174,1519.3666
-1.0458810236522718e-06,4.0976934,1425.4971
-1.0457144024919003e-06,4.6205916,1463.222
-1.0455477813315289e-06,4.268072,1399.4905
-1.0453811601711572e-06,4.6410728,1473.8486
-1.0452145390107858e-06,4.8430066,1427.636
-1.0450479178504141e-06,4.728402,1446.6433
-1.0448812966900427e-06,4.920232,1507.8086
-1.044714675529671e-06,3.9486806,1345.4729
-1.0445480543692993e-06,4.8652606,1462.2771
-1.0443814332089279e-06,4.54008,1427.147
-1.0442148120485562e-06,4.475789,1404.563
-1.0440481908881848e-06,4.6058197,1497.865
-1.0438815697278133e-06,4.951291,1407.0725
-1.0437149485674416e-06,4.5632234,1520.4204
-1.0435483274070702e-06,5.133398,1467.3694
-1.0433817062466985e-06,4.3752313,1437.683
-1.043215085086327e-06,4.470106,1493.3657
-1.0430484639259554e-06,4.790732,1425.0618
-1.0428818427655837e-06,4.742421,1551.0227
-1.0427152216052123e-06,4.4630585,1456.5902
-1.0425486004448406e-06,4.349375,1457.6742
-1.0423819792844692e-06,4.5552373,1457.1478
-1.0422153581240977e-06,3.807025,1379.726
-1.042048736963726e-06,5.2384744,1504.4476
-1.0418821158033546e-06,4.5300965,1410.9484
-1.041715494642983e-06,4.943978,1425.6552
-1.0415488734826115e-06,4.9275784,1511.294
-1.0413822523222398e-06,3.8622322,1352.0952
-1.0412156311618683e-06,5.0554523,1460.6
-1.0410490100014967e-06,4.6258187,1415.3779
-1.040882388841125e-06,4.223868,1426.7009
-1.0407157676807536e-06,5.1205916,1489.3485
-1.0405491465203821e-06,4.383487,1346.6051
-1.0403825253600104e-06,4.4460936,1509.4745
-1.040215904199639e-06,4.9331,1426.8218
-1.0400492830392673e-06,4.8729625,1457.8665
-1.0398826618788959e-06,4.409836,1479.8909
-1.0397160407185242e-06,4.3219705,1383.8677
-1.0395494195581528e-06,4.6325607,1503.2623
-1.0393827983977813e-06,3.5153384,1417.776
-1.0392161772374094e-06,4.213874,1469.1643
-1.039049556077038e-06,4.5646615,1496.8752
-1.0388829349166665e-06,3.7321987,1409.6735
-1.0387163137562949e-06,4.750104,1492.9663
-1.0385496925959234e-06,4.265553,1425.0378
-1.0383830714355517e-06,4.460335,1503.5995
-1.0382164502751803e-06,5.006382,1495.7047
-1.0380498291148086e-06,4.7068267,1408.9343
-1.0378832079544372e-06,4.6203895,1491.44
-1.0377165867940655e-06,4.232036,1383.0615
