ppm,magnitude_original,magnitude_denoised
-1.091868463914822e-06,2.8355029,1367.2386
-1.0917018427544505e-06,1.816721,1080.1312
-1.0915352215940789e-06,1.3478384,715.51135
-1.0913686004337074e-06,2.9146295,1269.9182
-1.0912019792733357e-06,1.9720539,1103.3577
-1.0910353581129643e-06,1.4384366,696.0037
-1.0908687369525926e-06,3.1578116,1431.6309
-1.0907021157922212e-06,0.9651711,998.44867
-1.0905354946318495e-06,1.9040079,720.6871
-1.090368873471478e-06,3.0925756,1528.9729
-1.0902022523111064e-06,1.3093405,879.3223
-1.090035631150735e-06,1.880728,898.6459
-1.0898690099903633e-06,2.741545,1534.3743
-1.0897023888299918e-06,0.7079481,720.2333
-1.0895357676696201e-06,2.3550417,1011.5108
-1.0893691465092487e-06,2.7356706,1386.6617
-1.089202525348877e-06,0.38522348,614.5101
-1.0890359041885056e-06,2.5351512,1054.6096
-1.0888692830281341e-06,2.7533202,1378.4535
-1.0887026618677622e-06,0.1729622,494.73752
-1.0885360407073908e-06,2.4910395,1111.8761
-1.0883694195470193e-06,2.7939603,1430.759
-1.0882027983866477e-06,0.45716444,297.74753
-1.0880361772262762e-06,3.036234,1336.356
-1.0878695560659046e-06,2.7232902,1319.8304
-1.087702934905533e-06,0.73188066,356.47025
-1.0875363137451614e-06,3.23737,1588.7477
-1.08736969258479e-06,1.9242538,1067.0615
-1.0872030714244185e-06,1.7607994,712.14166
-1.0870364502640469e-06,2.998263,1552.7941
-1.0868698291036752e-06,1.4579973,748.4862
-1.0867032079433037e-06,2.0830672,960.3007
-1.086536586782932e-06,2.5519102,1333.9011
-1.0863699656225606e-06,1.2717446,748.36285
-1.086203344462189e-06,1.6515378,873.8182
-1.0860367233018175e-06,2.4961584,1278.7147
-1.0858701021414458e-06,1.4891332,894.2693
-1.0857034809810744e-06,1.5719265,735.3694
-1.085536859820703e-06,3.2601252,1487.9901
-1.0853702386603313e-06,1.2643455,770.7714
-1.0852036174999598e-06,2.0311882,939.84186
-1.0850369963395882e-06,3.3415709,1621.4521
-1.0848703751792165e-06,1.0868887,496.3761
-1.084703754018845e-06,2.988502,1267.2576
-1.0845371328584734e-06,2.9453838,1483.371
-1.084370511698102e-06,0.53453094,238.0185
-1.0842038905377302e-06,2.7897854,1394.3939
-1.0840372693773588e-06,2.4594748,1319.2142
-1.0838706482169873e-06,0.7556242,308.44058
-1.0837040270566157e-06,2.7328334,1417.8054
-1.0835374058962442e-06,1.7488216,1226.4741
-1.0833707847358726e-06,1.100749,408.39493
-1.0832041635755009e-06,2.9619339,1468.3479
-1.0830375424151294e-06,2.07881,1109.2743
-1.0828709212547578e-06,1.1738887,563.9212
-1.0827043000943863e-06,3.192577,1491.0319
-1.0825376789340147e-06,1.5664064,908.9211
-1.0823710577736432e-06,1.1635717,730.8211
-1.0822044366132717e-06,3.0006232,1447.1354
-1.0820378154529e-06,1.3661513,767.1743
-1.0818711942925286e-06,1.958487,828.7441
-1.081704573132157e-06,2.883432,1481.5078
-1.0815379519717855e-06,1.1114352,636.2635
-1.0813713308114138e-06,2.1108215,1060.4302
-1.0812047096510422e-06,3.1747198,1598.1562
-1.0810380884906707e-06,0.33936703,348.4135
-1.080871467330299e-06,2.7617788,1270.4426
-1.0807048461699276e-06,2.738805,1337.2717
-1.0805382250095562e-06,0.60390586,366.80936
-1.0803716038491845e-06,2.479983,1241.6273
-1.080204982688813e-06,2.2915328,1040.2754
-1.0800383615284414e-06,0.672089,549.45404
-1.07987174036807e-06,2.1086297,1029.419
-1.0797051192076982e-06,2.314264,1203.4918
-1.0795384980473266e-06,0.42521864,394.60257
-1.0793718768869551e-06,2.4956946,1223.7704
-1.0792052557265835e-06,2.6990092,1388.0007
-1.079038634566212e-06,0.6981714,127.952
-1.0788720134058406e-06,3.361463,1580.25
-1.0787053922454689e-06,2.21931,1177.9229
-1.0785387710850974e-06,1.4737109,662.80005
-1.0783721499247258e-06,3.5487869,1689.6095
-1.0782055287643543e-06,1.8798059,749.1643
-1.0780389076039827e-06,2.038038,987.28033
-1.0778722864436112e-06,3.080967,1483.5186
-1.0777056652832395e-06,1.3610462,567.6005
-1.0775390441228679e-06,2.4707625,984.4613
-1.0773724229624964e-06,2.894831,1336.477
-1.077205801802125e-06,0.7486979,554.7314
-1.0770391806417533e-06,2.1144543,968.6
-1.0768725594813818e-06,2.7801576,1314.9847
-1.0767059383210102e-06,0.8242045,458.13116
-1.0765393171606387e-06,2.4009564,1135.1936
-1.076372696000267e-06,2.3982382,1298.853
-1.0762060748398956e-06,0.36709037,402.45728
-1.076039453679524e-06,2.681519,1189.7441
-1.0758728325191523e-06,2.4092197,1255.7635
-1.0757062113587808e-06,0.55067456,362.43427
-1.0755395901984092e-06,2.6280324,1191.6389
-1.0753729690380377e-06,2.504266,1337.3817
-1.0752063478776663e-06,0.7890748,290.48535
-1.0750397267172946e-06,3.041996,1406.4564
-1.0748731055569231e-06,2.4079301,1213.3865
-1.0747064843965515e-06,1.1594989,477.893
-1.07453986323618e-06,3.3259573,1533.7932
-1.0743732420758083e-06,1.4721607,905.053
-1.074206620915437e-06,1.4833139,742.0444
-1.0740399997550652e-06,3.1842468,1387.7029
-1.0738733785946936e-06,1.2235643,720.927
-1.0737067574343221e-06,1.4363123,765.1476
-1.0735401362739507e-06,2.560265,1255.33
-1.073373515113579e-06,1.2100631,878.919
-1.0732068939532075e-06,1.7635701,634.26636
-1.0730402727928359e-06,3.0546134,1443.676
-1.0728736516324644e-06,1.1751167,774.6832
-1.0727070304720928e-06,2.1297565,952.9119
-1.0725404093117213e-06,3.2171428,1601.6134
-1.0723737881513498e-06,0.7642793,337.19928
-1.072207166990978e-06,2.8192592,1412.5286
-1.0720405458306065e-06,2.90036,1466.683
-1.071873924670235e-06,0.7640832,264.45792
-1.0717073035098634e-06,2.8807697,1490.8584
-1.071540682349492e-06,2.142342,1000.38654
-1.0713740611891203e-06,1.0237836,683.4336
-1.0712074400287488e-06,2.522211,1218.7079
-1.0710408188683772e-06,1.878449,832.52136
-1.0708741977080057e-06,1.5898278,693.9956
-1.0707075765476343e-06,2.554144,1032.1581
-1.0705409553872626e-06,2.0431888,1060.8032
-1.070374334226891e-06,0.6947833,451.2889
