ppm,magnitude_original,magnitude_denoised
-1.091868463914822e-06,3.3026938,2486.9006
-1.0917018427544505e-06,2.2728386,2202.9238
-1.0915352215940789e-06,1.2883352,1132.6617
-1.0913686004337074e-06,3.419519,2432.055
-1.0912019792733357e-06,2.0747974,2179.245
-1.0910353581129643e-06,1.8753483,1055.0059
-1.0908687369525926e-06,3.6968052,2663.481
-1.0907021157922212e-06,1.4126754,2049.3484
-1.0905354946318495e-06,2.5458434,1237.6296
-1.090368873471478e-06,3.7183971,2833.295
-1.0902022523111064e-06,0.99184954,1630.1344
-1.090035631150735e-06,2.8222504,1617.2344
-1.0898690099903633e-06,3.4780715,2726.9292
-1.0897023888299918e-06,0.40287775,1291.8861
-1.0895357676696201e-06,3.0990622,1819.6166
-1.0893691465092487e-06,3.2045105,2496.9094
-1.089202525348877e-06,0.29514882,1176.1334
-1.0890359041885056e-06,3.4222534,1888.9835
-1.0888692830281341e-06,2.943121,2519.494
-1.0887026618677622e-06,0.7327323,1021.66833
-1.0885360407073908e-06,3.3235493,2050.2322
-1.0883694195470193e-06,2.5253277,2554.5981
-1.0882027983866477e-06,0.99306834,711.0594
-1.0880361772262762e-06,3.3078964,2353.6685
-1.0878695560659046e-06,2.431671,2384.997
-1.087702934905533e-06,1.1396348,629.9808
-1.0875363137451614e-06,3.5970883,2582.8645
-1.08736969258479e-06,2.1530695,2106.9392
-1.0872030714244185e-06,1.7689285,936.13354
-1.0870364502640469e-06,3.619353,2665.2937
-1.0868698291036752e-06,1.6109945,1776.8777
-1.0867032079433037e-06,2.2534194,1275.5753
-1.086536586782932e-06,3.3303595,2559.0566
-1.0863699656225606e-06,1.2321864,1602.7092
-1.086203344462189e-06,2.2103872,1365.0917
-1.0860367233018175e-06,3.0787523,2496.9614
-1.0858701021414458e-06,1.4187545,1603.1288
-1.0857034809810744e-06,2.0321417,1392.6224
-1.085536859820703e-06,3.5362275,2781.0972
-1.0853702386603313e-06,1.2145271,1438.2366
-1.0852036174999598e-06,2.7345922,1742.0641
-1.0850369963395882e-06,3.7885141,2948.485
-1.0848703751792165e-06,0.5105364,961.0036
-1.084703754018845e-06,3.509031,2253.1042
-1.0845371328584734e-06,3.4961302,2782.3137
-1.084370511698102e-06,0.5433855,605.66797
-1.0842038905377302e-06,3.7084963,2478.8452
-1.0840372693773588e-06,2.6141286,2417.8577
-1.0838706482169873e-06,1.270986,756.6405
-1.0837040270566157e-06,3.455666,2430.327
-1.0835374058962442e-06,2.13822,2215.6907
-1.0833707847358726e-06,1.5094126,872.99335
-1.0832041635755009e-06,3.3369331,2523.3218
-1.0830375424151294e-06,1.7935227,2082.9983
-1.0828709212547578e-06,1.7484953,969.9056
-1.0827043000943863e-06,3.2476656,2585.3523
-1.0825376789340147e-06,1.6697845,1865.8635
-1.0823710577736432e-06,2.0039482,1152.395
-1.0822044366132717e-06,3.1853144,2618.8406
-1.0820378154529e-06,1.4220407,1654.7516
-1.0818711942925286e-06,2.0723407,1345.1979
-1.081704573132157e-06,3.3673506,2687.8337
-1.0815379519717855e-06,1.1661949,1380.3776
-1.0813713308114138e-06,2.4767296,1656.2258
-1.0812047096510422e-06,3.4448154,2736.9956
-1.0810380884906707e-06,0.676236,936.9885
-1.080871467330299e-06,3.041027,2038.8198
-1.0807048461699276e-06,3.3153765,2523.8118
-1.0805382250095562e-06,0.27198374,664.52423
-1.0803716038491845e-06,3.2176964,2172.085
-1.080204982688813e-06,2.8232641,2188.7002
-1.0800383615284414e-06,0.74804074,824.75507
-1.07987174036807e-06,3.2320356,2084.3496
-1.0797051192076982e-06,2.580717,2178.233
-1.0795384980473266e-06,0.7739488,679.179
-1.0793718768869551e-06,3.417612,2309.536
-1.0792052557265835e-06,2.7229426,2330.0635
-1.079038634566212e-06,0.99735004,497.17645
-1.0788720134058406e-06,3.8405948,2772.4119
-1.0787053922454689e-06,2.3435824,2061.382
-1.0785387710850974e-06,1.8309274,1119.491
-1.0783721499247258e-06,4.04825,2933.4482
-1.0782055287643543e-06,1.4952428,1412.1841
-1.0780389076039827e-06,2.6557524,1677.5757
-1.0778722864436112e-06,3.668778,2666.1665
-1.0777056652832395e-06,0.66885006,1059.4574
-1.0775390441228679e-06,2.7716703,1724.1722
-1.0773724229624964e-06,3.000209,2365.6436
-1.077205801802125e-06,0.9004191,1255.729
-1.0770391806417533e-06,2.4315493,1611.2621
-1.0768725594813818e-06,2.8027065,2432.4976
-1.0767059383210102e-06,1.0324274,1137.6757
-1.0765393171606387e-06,2.4321997,1819.524
-1.076372696000267e-06,3.1120183,2585.5764
-1.0762060748398956e-06,0.6286913,808.9075
-1.076039453679524e-06,2.8071678,2146.485
-1.0758728325191523e-06,3.19897,2510.5134
-1.0757062113587808e-06,0.27250102,700.40405
-1.0755395901984092e-06,3.4321043,2288.7207
-1.0753729690380377e-06,3.0809326,2324.57
-1.0752063478776663e-06,0.676903,704.8857
-1.0750397267172946e-06,3.8068225,2480.9304
-1.0748731055569231e-06,2.651283,2216.372
-1.0747064843965515e-06,1.4802693,776.17065
-1.07453986323618e-06,3.9340358,2732.3518
-1.0743732420758083e-06,1.8560393,1873.1595
-1.074206620915437e-06,2.2267873,1229.664
-1.0740399997550652e-06,3.6950436,2693.357
-1.0738733785946936e-06,1.1265944,1454.7374
-1.0737067574343221e-06,2.328795,1472.0094
-1.0735401362739507e-06,3.1372638,2400.086
-1.073373515113579e-06,0.9668007,1493.155
-1.0732068939532075e-06,2.2537274,1354.6058
-1.0730402727928359e-06,3.1998663,2550.9675
-1.0728736516324644e-06,1.0183766,1502.0803
-1.0727070304720928e-06,2.5123746,1581.0854
-1.0725404093117213e-06,3.5246806,2899.3943
-1.0723737881513498e-06,0.5798805,934.47577
-1.072207166990978e-06,3.2598782,2294.1697
-1.0720405458306065e-06,3.3350742,2756.0352
-1.071873924670235e-06,0.6077568,465.51688
-1.0717073035098634e-06,3.720872,2580.909
-1.071540682349492e-06,2.5372705,2085.829
-1.0713740611891203e-06,1.2586412,1050.8466
-1.0712074400287488e-06,3.3984902,2262.407
-1.0710408188683772e-06,1.8628367,1839.2712
-1.0708741977080057e-06,1.3582523,1220.5322
-1.0707075765476343e-06,3.0071328,2075.3113
-1.0705409553872626e-06,2.1469615,2140.94
-1.070374334226891e-06,1.0512065,808.9733
-1.0702077130665195e-06,3.2992976,2445.8342
-1.0700410919061478e-06,2.3880196,2123.8142
-1.0698744707457764e-06,1.293637,847.762
-1.0697078495854047e-06,3.9903202,2767.941
-1.0695412284250332e-06,1.9507165,1743.0824
-1.0693746072646616e-06,2.2635903,1305.1266
-1.0692079861042901e-06,4.010021,2730.1892
-1.0690413649439187e-06,1.1272502,1396.1012
-1.068874743783547e-06,3.16996,1558.1661
-1.0687081226231755e-06,3.7566955,2752.1145
-1.0685415014628039e-06,0.29796922,1167.1703
-1.0683748803024322e-06,3.3522446,1878.4607
-1.0682082591420608e-06,3.1681309,2697.3704
-1.068041637981689e-06,0.5489211,712.23193
-1.0678750168213176e-06,3.2767441,2263.5435
-1.067708395660946e-06,2.3422568,2301.5166
-1.0675417745005745e-06,1.0089598,875.0457
-1.067375153340203e-06,2.9387305,2151.973
-1.0672085321798314e-06,2.2679825,1970.8491
-1.06704191101946e-06,1.1024158,1177.6056
-1.0668752898590883e-06,2.7340653,1872.1603
-1.0667086686987166e-06,2.5961924,2353.528
-1.0665420475383452e-06,0.5304313,810.3517
-1.0663754263779735e-06,3.2230136,2352.0515
-1.066208805217602e-06,2.8111386,2524.5732
-1.0660421840572304e-06,1.0909746,514.35675
-1.065875562896859e-06,4.043833,2977.8403
-1.0657089417364875e-06,2.2458036,1884.1859
-1.0655423205761158e-06,2.1774797,1456.3876
-1.0653756994157444e-06,4.0129743,2794.091
-1.0652090782553727e-06,1.1192838,1110.556
-1.0650424570950012e-06,2.8614955,1802.1478
-1.0648758359346296e-06,3.3170037,2150.0837
-1.064709214774258e-06,0.6887055,1483.7391
-1.0645425936138865e-06,2.455692,1440.0979
-1.0643759724535148e-06,2.8333757,2228.4973
-1.0642093512931433e-06,1.032934,1718.6212
-1.0640427301327717e-06,2.1830027,1243.0763
-1.0638761089724002e-06,3.2437344,2791.1052
-1.0637094878120288e-06,0.6747594,1281.9271
-1.063542866651657e-06,2.9588594,1989.4194
-1.0633762454912856e-06,3.4919293,2878.0815
-1.063209624330914e-06,0.23796163,581.5827
-1.0630430031705423e-06,3.7787707,2486.1423
-1.0628763820101709e-06,3.0395753,2409.4597
-1.0627097608497992e-06,1.0758702,660.4317
-1.0625431396894277e-06,3.9051228,2544.741
-1.062376518529056e-06,2.1745036,2044.761
-1.0622098973686846e-06,1.8270247,959.62085
-1.0620432762083132e-06,3.5806527,2535.1235
-1.0618766550479415e-06,1.3207438,1722.1665
-1.06171003388757e-06,2.1146753,1289.7982
-1.0615434127271984e-06,2.876283,2410.8872
-1.061376791566827e-06,1.3229411,1469.0759
-1.0612101704064553e-06,1.8351463,1454.5033
-1.0610435492460836e-06,2.7135863,2075.582
-1.0608769280857121e-06,1.8897623,1774.3839
-1.0607103069253405e-06,1.3651788,1110.8544
-1.060543685764969e-06,3.1311624,2320.027
-1.0603770646045976e-06,1.8940105,2039.0563
-1.060210443444226e-06,1.9341828,964.5894
-1.0600438222838545e-06,4.0405073,3044.0435
-1.0598772011234828e-06,1.3367426,1536.1104
-1.0597105799631113e-06,3.276493,2006.9594
-1.0595439588027397e-06,4.099345,3128.3752
-1.059377337642368e-06,0.7011189,435.90686
-1.0592107164819966e-06,4.004435,2626.7048
-1.0590440953216249e-06,2.9633055,2264.9785
-1.0588774741612534e-06,1.3216107,906.5844
-1.058710853000882e-06,3.5123317,2230.5674
-1.0585442318405103e-06,1.6913557,1731.8014
-1.0583776106801389e-06,1.7077899,1381.6581
-1.0582109895197672e-06,2.6339076,1678.235
-1.0580443683593957e-06,2.0612679,2378.9563
-1.057877747199024e-06,1.0248827,916.68713
-1.0577111260386526e-06,2.7676365,2265.848
-1.057544504878281e-06,2.5711834,2622.7192
-1.0573778837179093e-06,0.80443954,371.8633
-1.0572112625575378e-06,3.8162088,2984.4885
-1.0570446413971664e-06,2.4682806,2119.4565
-1.0568780202367947e-06,2.0448134,1245.7444
-1.0567113990764233e-06,4.1364374,2944.5576
-1.0565447779160516e-06,1.3693391,1332.5464
-1.0563781567556801e-06,2.8826048,1715.2216
-1.0562115355953085e-06,3.6528616,2535.1902
-1.056044914434937e-06,0.34127328,1096.5504
-1.0558782932745656e-06,2.9469519,1805.4855
-1.0557116721141937e-06,2.7576551,2255.6462
-1.0555450509538222e-06,0.78483886,1197.3687
-1.0553784297934508e-06,2.399899,1706.3866
-1.0552118086330791e-06,2.3044405,2135.0344
-1.0550451874727077e-06,1.1605294,1361.4276
-1.054878566312336e-06,2.0990431,1497.0426
-1.0547119451519646e-06,2.9570642,2387.5146
-1.0545453239915929e-06,0.91373324,1316.7594
-1.0543787028312214e-06,2.8084474,1739.5583
-1.05421208167085e-06,3.5506055,2873.6924
-1.0540454605104783e-06,0.36478966,683.3506
-1.0538788393501067e-06,4.047059,2646.0515
-1.0537122181897352e-06,3.4058547,2867.178
-1.0535455970293635e-06,1.5567368,430.89505
-1.053378975868992e-06,4.6896124,3206.1533
-1.0532123547086204e-06,2.384543,2002.5898
-1.053045733548249e-06,2.8595927,1511.0754
-1.0528791123878773e-06,4.0114555,2838.3616
-1.0527124912275058e-06,0.5229857,1028.6736
-1.0525458700671344e-06,3.053295,1844.4512
-1.0523792489067627e-06,2.5005078,1927.7203
-1.0522126277463913e-06,1.2440865,1623.9111
-1.0520460065860196e-06,2.0126257,1302.7296
-1.051879385425648e-06,2.2315228,2149.2344
-1.0517127642652765e-06,1.92276,2081.148
-1.0515461431049048e-06,1.4959397,943.63086
-1.0513795219445334e-06,3.5623002,3002.9338
-1.0512129007841617e-06,1.4733456,1586.1304
-1.0510462796237902e-06,2.917438,1994.2291
-1.0508796584634186e-06,4.089624,3170.779
-1.0507130373030471e-06,0.6891235,580.4537
-1.0505464161426757e-06,3.824205,2623.4417
-1.050379794982304e-06,3.203196,2513.264
-1.0502131738219323e-06,1.0138172,660.8236
-1.0500465526615609e-06,3.7905517,2488.6687
-1.0498799315011892e-06,2.2489195,1893.4646
-1.0497133103408178e-06,1.5895938,1133.387
-1.0495466891804461e-06,3.2399333,2157.9204
