ppm,magnitude_original,magnitude_denoised
-1.091868463914822e-06,3.3167367,2500.7422
-1.0917018427544505e-06,2.2635074,2194.7048
-1.0915352215940789e-06,1.2576352,1116.1416
-1.0913686004337074e-06,3.4444308,2447.5293
-1.0912019792733357e-06,2.0499597,2167.732
-1.0910353581129643e-06,1.8423289,1039.4586
-1.0908687369525926e-06,3.7300928,2680.6257
-1.0907021157922212e-06,1.3789338,2033.5007
-1.0905354946318495e-06,2.511386,1220.5178
-1.090368873471478e-06,3.7521327,2852.4485
-1.0902022523111064e-06,0.95809805,1610.3712
-1.090035631150735e-06,2.792555,1601.7391
-1.0898690099903633e-06,3.505726,2745.3818
-1.0897023888299918e-06,0.3706072,1270.0443
-1.0895357676696201e-06,3.080765,1811.0917
-1.0893691465092487e-06,3.2195566,2511.3809
-1.089202525348877e-06,0.27607116,1153.2603
-1.0890359041885056e-06,3.418577,1888.1782
-1.0888692830281341e-06,2.9447572,2526.4592
-1.0887026618677622e-06,0.7103053,1001.944
-1.0885360407073908e-06,3.335412,2058.3533
-1.0883694195470193e-06,2.5151672,2549.9055
-1.0882027983866477e-06,0.9627298,694.9383
-1.0880361772262762e-06,3.3304663,2370.5588
-1.0878695560659046e-06,2.4101062,2368.7844
-1.087702934905533e-06,1.1060182,610.4226
-1.0875363137451614e-06,3.6280994,2605.6033
-1.08736969258479e-06,2.121617,2083.8098
-1.0872030714244185e-06,1.7343923,916.6
-1.0870364502640469e-06,3.6537151,2687.5864
-1.0868698291036752e-06,1.5764163,1753.7578
-1.0867032079433037e-06,2.2233005,1262.8982
-1.086536586782932e-06,3.3608994,2576.7676
-1.0863699656225606e-06,1.1976262,1581.9381
-1.086203344462189e-06,2.19278,1362.794
-1.0860367233018175e-06,3.1033273,2508.5718
-1.0858701021414458e-06,1.3857584,1586.1117
-1.0857034809810744e-06,2.0221527,1394.7974
-1.085536859820703e-06,3.552941,2785.7515
-1.0853702386603313e-06,1.1980337,1429.1227
-1.0852036174999598e-06,2.7303877,1746.6028
-1.0850369963395882e-06,3.7866886,2944.4634
-1.0848703751792165e-06,0.5266404,959.40497
-1.084703754018845e-06,3.5223353,2262.8665
-1.0845371328584734e-06,3.4759579,2771.9492
-1.084370511698102e-06,0.5210851,599.74945
-1.0842038905377302e-06,3.7374911,2492.9841
-1.0840372693773588e-06,2.582764,2403.9504
-1.0838706482169873e-06,1.2363832,748.0635
-1.0837040270566157e-06,3.4899325,2446.051
-1.0835374058962442e-06,2.1039968,2199.6687
-1.0833707847358726e-06,1.4793189,865.8728
-1.0832041635755009e-06,3.3696585,2539.0156
-1.0830375424151294e-06,1.7594788,2065.773
-1.0828709212547578e-06,1.7267069,962.7004
-1.0827043000943863e-06,3.2738543,2599.97
-1.0825376789340147e-06,1.6383195,1848.7384
-1.0823710577736432e-06,1.9934498,1147.3334
-1.0822044366132717e-06,3.2015214,2630.6003
-1.0820378154529e-06,1.3973118,1638.8842
-1.0818711942925286e-06,2.071704,1344.3844
-1.081704573132157e-06,3.3715138,2694.1216
-1.0815379519717855e-06,1.1567651,1368.773
-1.0813713308114138e-06,2.485561,1660.1515
-1.0812047096510422e-06,3.4330442,2734.0718
-1.0810380884906707e-06,0.6885594,932.6092
-1.080871467330299e-06,3.0643523,2050.5837
-1.0807048461699276e-06,3.289329,2511.5437
-1.0805382250095562e-06,0.2440894,656.5396
-1.0803716038491845e-06,3.250036,2191.356
